COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_tipo,1,bigint,YES,NULL,19,0,0
cd_pedido_orcamento,2,bigint,YES,NULL,19,0,0
cd_item,3,bigint,YES,NULL,19,0,0
cd_modalidade_icms,4,nvarchar,YES,-1,NULL,NULL,0
ic_consumidor_final,5,bit,YES,NULL,NULL,NULL,0
vl_unitario,6,float,YES,NULL,53,NULL,0
vl_quantidade,7,float,YES,NULL,53,NULL,0
vl_seguro,8,float,YES,NULL,53,NULL,0
vl_frete,9,float,YES,NULL,53,NULL,0
vl_diversos,10,float,YES,NULL,53,NULL,0
vl_bc_pis,11,float,YES,NULL,53,NULL,0
vl_pis,12,float,YES,NULL,53,NULL,0
pc_pis,13,float,YES,NULL,53,NULL,0
tp_incidencia_pis,14,nvarchar,YES,-1,NULL,NULL,0
vl_retencao_pis,15,float,YES,NULL,53,NULL,0
pc_ret_pis,16,float,YES,NULL,53,NULL,0
vl_bc_cofins,17,float,YES,NULL,53,NULL,0
vl_cofins,18,float,YES,NULL,53,NULL,0
pc_cofins,19,float,YES,NULL,53,NULL,0
tp_incidencia_cofins,20,nvarchar,YES,-1,NULL,NULL,0
